"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,ClearPageFileAtShutdown,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,DisablePagingExecutive,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,LargeSystemCache,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,NonPagedPoolQuota,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,NonPagedPoolSize,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,PagedPoolQuota,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,PagedPoolSize,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,PagingFiles,MultiString,?:\pagefile.sys
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,SecondLevelDataCache,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,SessionPoolSize,DWord,"00000004"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,SessionViewSize,DWord,"00000030"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,SystemPages,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,da56a5e4-287c-4a5b-86da-140a12d814cd,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,PhysicalAddressExtension,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management,ExistingPageFiles,MultiString,\??\C:\pagefile.sys
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management\PrefetchParameters,BootId,DWord,"00000003"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management\PrefetchParameters,BaseTime,DWord,"21D06F63"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Session Manager\Memory Management\PrefetchParameters,EnablePrefetcher,DWord,"00000003"
